Rk,Gcar,Gtm,Date,Team,,Opp,Type,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
127,127,27,2024-02-22,Iowa,@,Indiana,REG (Conf),L 69-86,*,39,8,26,0.308,3,16,0.188,5,10,0.500,0.365,5,8,0.625,0,10,10,9,2,0,5,2,24,13.3
128,128,28,2024-02-25,Iowa,,Illinois,REG (Conf),W 101-85,*,33,6,18,0.333,5,14,0.357,1,4,0.250,0.472,7,8,0.875,1,14,15,10,2,0,5,2,24,21.5
129,129,29,2024-02-28,Iowa,@,Minnesota,REG (Conf),W 108-60,*,29,12,20,0.600,8,14,0.571,4,6,0.667,0.800,1,1,1.000,1,9,10,12,2,0,5,3,33,31.4
130,130,30,2024-03-03,Iowa,,Ohio State,REG (Conf),W 93-83,*,39,10,26,0.385,6,17,0.353,4,9,0.444,0.500,9,10,0.900,0,6,6,9,3,0,5,3,35,25.3
131,131,31,2024-03-08,Iowa,N,Penn State,CTOURN,W 95-62,*,32,5,19,0.263,2,14,0.143,3,5,0.600,0.316,12,13,0.923,0,10,10,7,1,1,6,1,24,15.5
132,132,32,2024-03-09,Iowa,N,Michigan,CTOURN,W 95-68,*,32,10,19,0.526,4,11,0.364,6,8,0.750,0.632,4,4,1.000,0,4,4,15,2,0,6,2,28,25.6
133,133,33,2024-03-10,Iowa,N,Nebraska,CTOURN,W 94-89 (OT),*,44,12,29,0.414,5,17,0.294,7,12,0.583,0.500,5,6,0.833,2,5,7,12,3,0,7,3,34,24.2
134,134,34,2024-03-23,Iowa,,Holy Cross,ROUND-64,W 91-65,*,32,8,19,0.421,3,9,0.333,5,10,0.500,0.500,8,9,0.889,1,7,8,10,3,1,6,3,27,22.8
135,135,35,2024-03-25,Iowa,,West Virginia,ROUND-32,W 64-54,*,40,8,22,0.364,5,14,0.357,3,8,0.375,0.477,11,12,0.917,0,8,8,3,2,0,6,1,32,19.5
136,136,36,2024-03-30,Iowa,N,Colorado,ROUND-16,W 89-68,*,36,13,22,0.591,3,11,0.273,10,11,0.909,0.659,0,0,,0,6,6,15,1,1,2,3,29,29.6
137,137,37,2024-04-01,Iowa,N,Louisiana State,ROUND-8,W 94-87,*,40,13,29,0.448,9,20,0.450,4,9,0.444,0.603,6,7,0.857,2,5,7,12,2,1,5,2,41,33.7
138,138,38,2024-04-05,Iowa,N,Connecticut,NATIONAL-SEMI,W 71-69,*,40,7,18,0.389,3,11,0.273,4,7,0.571,0.472,4,5,0.800,0,9,9,7,2,0,4,2,21,15.6
139,139,39,2024-04-07,Iowa,N,South Carolina,NATIONAL-FINAL,L 75-87,*,40,10,28,0.357,5,13,0.385,5,15,0.333,0.446,5,6,0.833,2,6,8,5,0,0,4,3,30,15.5
,,,,Iowa,,,,109-30,139,4837,1293,2798,0.462,548,1452,0.377,745,1346,0.553,0.560,817,952,0.858,64,926,990,1144,210,74,639,306,3951,22.2
